コード,銘柄名,類似米国ETFティッカー
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ,VNQ
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ,BOTZ
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ,SPHB
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ,USMV
2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ,SHE
2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ,ESGU
2072,トップシェアインデックス（ネットリターン）ＥＴＮ,MTUM
2073,スマートＥＳＧ３０低カーボンリスク（ネットリターン）ＥＴＮ,CRBN
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ,VLUE
2081,政策保有解消推進ＥＴＦ,QUAL
2082,投資家経営者一心同体ＥＴＦ,QUAL
2083,ＮＥＸＴ　ＦＵＮＤＳ　日本成長株アクティブ上場投信,MTUM
2084,ＮＥＸＴ　ＦＵＮＤＳ　日本高配当株アクティブ上場投信,HDV
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信,HDV
2086,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジあり）,HSPX
2087,ＮＺＡＭ　上場投信　ＮＡＳＤＡＱ１００（為替ヘッジあり）,HNDQ
2088,ＮＺＡＭ　上場投信　ＮＹダウ３０（為替ヘッジあり）,HDGE
2089,ＮＺＡＭ　上場投信　ＤＡＸ（為替ヘッジあり）,DAX
2090,ＮＺＡＭ　上場投信　米国国債７－１０年（為替ヘッジあり）,IEF
2091,ＮＺＡＭ　上場投信　ドイツ国債７－１０年（為替ヘッジあり）,GGOV
2092,ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）,EFGC
2093,上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）,SHY
2094,東証ＲＥＩＴインバースＥＴＦ,SRS
2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）,NOBL
2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ,VNQ
2097,グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ,VNQ
2098,グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ,VNQ
210A,ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数,VNQ
213A,上場インデックスファンド日経半導体株,SOXX
221A,ＭＡＸＩＳ日経半導体株上場投信,SOXX
2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし,DIA
2236,グローバルＸ　Ｓ＆Ｐ５００配当貴族ＥＴＦ,NOBL
2237,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ,UPRO
2238,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース,SH
2239,上場インデックスファンドＳ＆Ｐ５００先物レバレッジ２倍,UPRO
223A,グローバルＸ　ＡＩ＆ビッグデータ　ＥＴＦ,AIQ
2240,上場インデックスファンドＳ＆Ｐ５００先物インバース,SH
2241,ＭＡＸＩＳ　ＮＹダウ上場投信,DIA
2242,ＭＡＸＩＳ　ＮＹダウ上場投信（為替ヘッジあり）,HDGE
2243,グローバルＸ　半導体　ＥＴＦ,SOXX
2244,グローバルＸ　ＵＳ　テック・トップ２０　ＥＴＦ,VGT
